Date,Open,High,Low,Close,Volume
2020-12-04,211.78168913405196,214.46143237105383,211.78168913405196,213.14427185058594,263500
2020-12-07,211.1367180364012,211.19123298585524,208.22079891190384,209.22003173828125,230400
2020-12-08,211.54548923094637,213.7437874354021,209.47436484456966,213.23509216308594,293500
2020-12-09,213.96180441342017,215.06096051102978,210.60986275442528,214.37966918945312,251300
2020-12-10,212.69004115844078,215.35162614956923,211.94516994207248,214.2161407470703,229500
2020-12-11,212.1541061822658,215.4606392883421,210.38275163631536,210.40090942382812,196300
2020-12-14,212.63560688754134,213.83467264165884,208.15724384530097,208.6568603515625,247200
2020-12-15,209.58338692466836,212.6628232544014,207.82111109179377,211.8997802734375,201600
2020-12-16,212.31763625304677,214.27975870296794,210.97322517924516,211.99061584472656,242700
2020-12-17,212.12686647915157,214.34333642873708,211.50915514949153,213.6166229248047,291100
2020-12-18,213.61663568895253,215.18814385921158,209.51071592816638,211.22756958007812,466000
2020-12-21,210.74612388866183,210.74612388866183,203.9513820512368,208.14813232421875,220300
2020-12-22,207.51223485067266,209.15641553025563,206.6583475923264,207.23971557617188,173800
2020-12-23,208.62957102479513,211.27298470767357,208.0027807844314,208.52056884765625,133100
2020-12-24,208.50235916447818,208.85663003646383,205.5137678455126,208.18441772460938,77800
2020-12-28,209.5833773305245,211.43648360816502,208.74766164759586,209.63787841796875,172100
2020-12-29,210.78243398069606,210.78243398069606,207.02170663507582,208.32070922851562,127600
2020-12-30,208.79305934762337,209.83770036351234,207.62123066140828,209.25633239746094,128600
2020-12-31,209.58335853791283,212.92622096988453,207.7211596720703,212.64462280273438,118600
2021-01-04,213.47127416406943,214.29791093532242,205.99524150737744,207.2124786376953,165100
2021-01-05,207.18520837393848,208.63862136017045,204.91423758835194,205.5046844482422,158600
2021-01-06,208.5932251791147,218.476481188052,208.43880082001172,217.68618774414062,309900
2021-01-07,219.13960928431183,219.65738343316443,216.42352314349768,219.2486114501953,259400
2021-01-08,219.19412230551288,219.70281758854964,214.38873993780484,217.07757568359375,209700
2021-01-11,216.18733378341844,217.7588416415672,214.30696337287253,215.51512145996094,215400
2021-01-12,216.74148732944636,219.73915809273527,216.32362254824494,217.48635864257812,163400
2021-01-13,216.82318537694545,219.56652166882768,215.21533435444613,216.41441345214844,162900
2021-01-14,217.71343590835872,217.71343590835872,212.68097050823383,213.65293884277344,197900
2021-01-15,211.9542964343424,213.52580470326387,209.46530688318163,210.01942443847656,268500
2021-01-19,209.5288701802789,212.62647792886386,208.68406176661622,211.41831970214844,235900
2021-01-20,210.43727043224075,215.33348359488684,210.06482784328455,214.9065399169922,179300
2021-01-21,214.81567343834965,216.14192653007095,210.5190004176748,210.56442260742188,178400
2021-01-22,208.67497089157737,208.99291235542418,204.7507266035641,207.94825744628906,229600
2021-01-25,206.44942866448264,211.09129378812435,205.4138664774523,207.3396453857422,186500
2021-01-26,207.32147098432773,210.210153169311,205.10500117392823,206.35858154296875,266900
2021-01-27,203.50622947176865,203.89684364792438,198.49192218132737,198.87344360351562,308600
2021-01-28,200.5902954091164,200.5902954091164,196.63880106805104,197.21109008789062,290800
2021-01-29,195.94847283918634,195.94847283918634,190.42546956361306,191.7426300048828,316800
2021-02-01,193.38680482219826,193.64115246387976,190.48904362492632,192.1241455078125,254900
2021-02-02,194.2407084892421,197.3201448526373,192.27858606453682,194.49505615234375,294200
2021-02-03,193.4776601011298,195.97572832759963,192.1877501711343,194.64947509765625,177100
2021-02-04,196.06652304547208,201.7348709030862,193.1415116747477,200.69021606445312,272200
2021-02-05,201.76212287679337,203.23370746549088,198.8643620250009,199.30038452148438,201400
2021-02-08,199.8363654777469,204.76890774695752,199.16415308402492,204.5599822998047,236800
2021-02-09,207.29421494934707,218.37654984676556,207.29421494934707,211.69081115722656,430500
2021-02-10,212.31760782233133,214.73392419019734,210.01938637693368,213.18966674804688,238100
2021-02-11,214.07081299678424,222.58240784250194,213.58936825517225,222.50973510742188,365500
2021-02-12,221.28341203998053,224.9351233003265,218.60365526503995,221.22889709472656,305100
2021-02-16,222.34624168779425,222.34624168779425,217.03216378501543,218.4129180908203,260600
2021-02-17,219.12144150661692,221.70126112473696,217.59534185276283,220.48402404785156,177400
2021-02-18,218.567338227583,221.01090529442325,218.07681457972373,218.8307647705078,158100
2021-02-19,220.1297965381287,220.1297965381287,215.82402986905873,217.37738037109375,351400
2021-02-22,216.46894111231063,221.00178999339653,215.53330224430383,219.65737915039062,298500
2021-02-23,220.71109625859552,223.0729112748646,217.02304214713143,217.99501037597656,299000
2021-02-24,218.9215757355825,225.33479478212485,218.76715139111084,222.30078125,207100
2021-02-25,223.6088904560204,223.6088904560204,216.1873589382794,217.07757568359375,221700
2021-02-26,216.97763635772338,221.5195779930597,214.90651208088246,219.65737915039062,391200
2021-03-01,222.20087257561894,224.1993241530007,218.46739594086276,220.41134643554688,205100
2021-03-02,220.0843293218723,222.1282031185917,218.72174679072603,219.75730895996094,186400
2021-03-03,218.08586534713177,222.50063305211523,218.08586534713177,220.0388946533203,271600
2021-03-04,218.97608396640416,223.4271950055159,216.52343829961904,217.72250366210938,222700
2021-03-05,220.16609894061412,225.68910224821363,218.3765726279171,224.28109741210938,219400
2021-03-08,225.42566001588935,230.7306447415983,224.81704147456477,228.04180908203125,240100
2021-03-09,226.14329590891336,229.6860190873026,223.19103352404267,224.50819396972656,320600
2021-03-10,224.0721696345566,229.60425177923247,223.6633976182188,227.2969512939453,206300
2021-03-11,225.48925177732187,227.8147238958191,223.87232151177594,226.5702362060547,192800
2021-03-12,228.85028869745108,230.88508375440244,227.7329748184871,229.6587677001953,216800
2021-03-15,228.6958659914298,233.09247652393108,227.4332066290243,232.5201873779297,206700
2021-03-16,229.5133995813866,231.9535713837034,228.3801304749392,231.56057739257812,184800
2021-03-17,233.59858815273404,233.59858815273404,227.27423240893157,229.6504364013672,225400
2021-03-18,231.87129950048595,234.01900915545247,229.0381339781963,230.26278686523438,209900
2021-03-19,230.08000610152934,230.08000610152934,224.52335522412565,224.66958618164062,450800
2021-03-22,223.24384986651236,224.0298237633658,220.9681778529209,222.88742065429688,242500
2021-03-23,221.85468704530962,223.13417296815157,220.06339280798022,220.58433532714844,282700
2021-03-24,224.36799624242502,224.98945691095685,221.8821256775936,222.03749084472656,378700
2021-03-25,222.26592898174687,227.4387332078364,221.1692248706318,226.52481079101562,314000
2021-03-26,228.48065400214594,228.81880090755632,226.6710911271476,228.61773681640625,178000
2021-03-29,229.77841056813153,233.80881244331655,229.12953335369778,232.2185821533203,458200
2021-03-30,232.8400600674127,234.80500198547298,231.6245413601894,232.4013671875,288700
2021-03-31,232.34652223837776,232.4470542750721,226.31464187277055,226.47914123535156,281700
2021-04-01,224.98945631243305,229.9794797853522,224.45939348261402,229.49510192871094,235400
2021-04-05,231.09444876209324,231.57882658163985,228.22473260962713,229.4036865234375,341600
