Date,Open,High,Low,Close,Volume
2021-01-08,112.29181675836311,113.46090943440727,111.03020540290072,112.36752319335938,2341500
2021-01-11,112.01426373750067,112.1740699002346,108.97799798065496,110.40782165527344,1917500
2021-01-12,110.17231556739752,110.95450842375928,109.38170375530673,110.60966491699219,1748700
2021-01-13,110.81151504025043,112.36750729197169,110.81151504025043,111.989013671875,1272800
2021-01-14,111.81240504918038,112.8805728656296,110.71059991193826,112.24134826660156,1442200
2021-01-15,111.94698049886011,114.93278362438053,111.61054312056328,114.78980255126953,1762600
2021-01-19,117.07754536285867,117.12800776976901,115.29447187188836,116.05985260009766,1622100
2021-01-20,116.05983564522786,118.9447140448829,115.3449174283694,118.35596466064453,1814000
2021-01-21,117.75879904519206,119.04564159829147,117.02706856740693,118.77650451660156,1459500
2021-01-22,118.31390935442431,119.4661769325916,117.87654716521062,118.13729095458984,1109700
2021-01-25,118.62508477828518,120.90440122386973,118.26342907744358,119.96240234375,1651800
2021-01-26,119.67644225313897,122.7968331815301,119.31478650740479,122.6706771850586,1167100
2021-01-27,122.25853009880015,125.9003824444733,121.1146688243306,125.46302032470703,2866100
2021-01-28,123.73886056004068,125.39577814053355,121.70346206954892,121.84644317626953,3027600
2021-01-29,120.97169178991419,123.95750747206193,119.3063686316864,121.07261657714844,3433600
2021-02-01,121.45112061008696,124.68926171390754,120.60164020946318,124.65562438964844,1954200
2021-02-02,125.32004568087764,126.5227755295503,124.39485900207346,124.99202728271484,1231100
2021-02-03,124.78176256367136,124.78176256367136,122.78842091650695,123.90705108642578,1283000
2021-02-04,123.75567550884843,123.92388780687811,120.15587842915512,121.99783325195312,2725400
2021-02-05,121.99779938773516,123.63789129737447,121.66136205128853,122.42674255371094,1478600
2021-02-08,121.97260482250029,123.35196623175048,121.29133665803433,123.10804748535156,1025400
2021-02-09,123.108022114243,124.7733582105937,122.63702263260686,124.68083953857422,1220800
2021-02-10,125.74059644665589,126.12749623642931,122.84729906364335,124.08367919921875,801900
2021-02-11,123.797700980821,125.10977454618751,121.06421010838329,121.80435943603516,1521700
2021-02-12,121.11469214635363,121.95576639736998,116.36262776162113,117.80085754394531,1957100
2021-02-16,118.4484737459788,118.47370494370483,114.21787181027342,115.39537048339844,2529600
2021-02-17,115.15988000901658,116.6233537636726,115.00007385471933,116.30374145507812,1203100
2021-02-18,115.78228435531321,116.90932077040402,115.33651602943738,116.01778411865234,1011900
2021-02-19,116.118725278571,117.29623709490785,114.730957703855,114.76459503173828,1446600
2021-02-22,114.00762944646382,116.11872142142118,113.12449882199049,115.7318344116211,1647200
2021-02-23,116.37102880123373,116.78315978638994,114.25151818778956,115.4794921875,1776700
2021-02-24,115.00009502867898,115.76547578556543,113.29271508410238,113.67119598388672,1243500
